Site ID,Site Name,address,city,State,Postal Code,Service Region,Service Date,Disposal Date,Line of Business,Disposal Location,Manifest #,Charge Code,Material,Charge Qty,Weight (lbs),Makaya helper,Volume (gal),Material Class,Cost,Lbs per Gal,lbs per 43gal,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,3/25/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Tissue in Formalin),Hazardous Waste,4,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,3/28/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Flammable),Hazardous Waste,1,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,3/28/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Flammable),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,4/4/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Flammable),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,4/4/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Non-RCRA),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,4/4/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Tissue in Formalin),Hazardous Waste,4,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,4/11/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Flammable),Hazardous Waste,1,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,4/18/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Non-RCRA),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,4/18/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Tissue in Formalin),Hazardous Waste,4,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,4/25/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Flammable),Hazardous Waste,1,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,4/25/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Flammable),Hazardous Waste,2,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/2/2025,,Hazardous Waste,Mediwaste Disposal,,5 Gal Haz (Corrosive),Hazardous Waste,1,,1,5,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/2/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Flammable),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/2/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Non-RCRA),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/2/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Tissue in Formalin),Hazardous Waste,4,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/9/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Flammable),Hazardous Waste,1,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/9/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (RCRA),Hazardous Waste,1,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/13/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Corrosive),Hazardous Waste,1,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/16/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Non-RCRA),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/16/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Tissue in Formalin),Hazardous Waste,3,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/23/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Corrosive),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/23/2025,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Flammable),Hazardous Waste,1,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,5/23/2025,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Flammable),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
